82232344,Andrea,Silva,asilvav@gmail.com,socio,True,False,2024-03-08,asilvav@gmail.com
21631697,Marcos,Gutierrez,mgutierrezg@gmail.com,socio,True,False,2024-07-17,mgutierrezg@gmail.com
13852048,Pablo,Herrera,pherrerac@gmail.com,socio,True,False,2024-06-23,pherrerac@gmail.com
47535126,Ricardo,Silva,rsilvac@gmail.com,socio,True,False,2025-04-23,rsilvac@gmail.com
84514489,Alonso,Arias,aariasf@gmail.com,socio,True,False,2023-11-07,aariasf@gmail.com
49491631,Ricardo,Gonzalez,rgonzalezr@gmail.com,socio,True,False,2025-02-28,rgonzalezr@gmail.com
84285882,Jose,Rodriguez,jrodriguezf@gmail.com,socio,True,False,2024-04-20,jrodriguezf@gmail.com
51154241,Laura,Romero,lromeros@gmail.com,socio,True,False,2025-04-21,lromeros@gmail.com
34850391,Alonso,Ortiz,aortize@gmail.com,socio,True,False,2024-06-27,aortize@gmail.com
90099897,Jose,Echeverria,jecheverriam@gmail.com,socio,True,False,2025-04-20,jecheverriam@gmail.com
11898961,Ignacio,Lopez,ilopezv@gmail.com,socio,False,False,2025-09-19,ilopezv@gmail.com
26948946,Sebastian,Vargas,svargasc@gmail.com,socio,True,False,2025-10-23,svargasc@gmail.com
55728776,Joaquin,Fuentes,jfuentesr@gmail.com,socio,True,False,2024-07-03,jfuentesr@gmail.com
19943140,Isabella,Herrera,iherreraf@gmail.com,socio,False,False,2024-04-07,iherreraf@gmail.com
84903294,Isabella,Gutierrez,igutierrezs@gmail.com,socio,True,False,2024-05-18,igutierrezs@gmail.com
88990506,Hector,Romero,hromerov@gmail.com,socio,True,False,2024-02-08,hromerov@gmail.com
37888820,Alonso,Sanchez,asancheze@gmail.com,socio,True,False,2025-08-13,asancheze@gmail.com
31009452,Tomas,Ortiz,tortizr@gmail.com,socio,True,False,2023-11-30,tortizr@gmail.com
48668783,Diego,Munoz,dmunozg@gmail.com,socio,True,False,2023-12-02,dmunozg@gmail.com
93893865,Catalina,Flores,cfloresf@gmail.com,socio,True,False,2024-04-26,cfloresf@gmail.com
29090631,Valentina,Kraus,vkrauss@gmail.com,socio,True,False,2024-12-25,vkrauss@gmail.com
48736657,Paula,Navarro,pnavarrok@gmail.com,socio,True,False,2023-11-30,pnavarrok@gmail.com
82475098,Florencia,Silva,fsilvam@gmail.com,socio,True,False,2024-03-02,fsilvam@gmail.com
91029073,Gabriel,Diaz,gdiazc@gmail.com,socio,False,False,2025-03-15,gdiazc@gmail.com
88802305,Paula,Ibarra,pibarran@gmail.com,socio,True,False,2025-09-24,pibarran@gmail.com
97444123,Tomas,Fuentes,tfuentesm@gmail.com,socio,True,False,2024-03-15,tfuentesm@gmail.com
73083727,Paula,Fuentes,pfuentesr@gmail.com,socio,True,False,2024-12-11,pfuentesr@gmail.com
65250068,Marcos,Lopez,mlopezc@gmail.com,socio,True,False,2024-09-20,mlopezc@gmail.com
21819185,Sebastian,Munoz,smunozr@gmail.com,socio,False,False,2025-07-09,smunozr@gmail.com
10154493,Florencia,Ibarra,fibarram@gmail.com,socio,True,False,2025-09-10,fibarram@gmail.com
76906611,Ignacio,Vega,ivegae@gmail.com,socio,True,False,2025-02-04,ivegae@gmail.com
75056916,Hector,Vargas,hvargasr@gmail.com,socio,True,False,2024-02-20,hvargasr@gmail.com
83932360,Laura,Lopez,llopezv@gmail.com,socio,False,False,2025-03-19,llopezv@gmail.com
25766039,Hector,Sanchez,hsanchezr@gmail.com,socio,True,False,2025-01-10,hsanchezr@gmail.com
74759996,Catalina,Arias,cariasg@gmail.com,socio,True,False,2024-04-19,cariasg@gmail.com
78214937,Martina,Kraus,mkrausv@gmail.com,socio,True,False,2024-09-06,mkrausv@gmail.com
10344303,Ricardo,Miranda,rmirandas@gmail.com,socio,True,False,2024-03-13,rmirandas@gmail.com
29944139,Pablo,Fuentes,pfuentesi@gmail.com,socio,True,False,2024-11-16,pfuentesi@gmail.com
71115319,Clara,Ortiz,cortizh@gmail.com,socio,True,False,2025-03-05,cortizh@gmail.com
65133300,Lucas,Ibarra,libarrae@gmail.com,socio,True,False,2024-07-08,libarrae@gmail.com
99078806,Ricardo,Herrera,rherrerah@gmail.com,socio,True,False,2025-06-28,rherrerah@gmail.com
23470708,Jose,Castillo,jcastilloi@gmail.com,socio,True,False,2024-07-25,jcastilloi@gmail.com
97883261,Valentina,Arias,variasi@gmail.com,socio,True,False,2025-02-06,variasi@gmail.com
20779739,Laura,Herrera,lherreraa@gmail.com,socio,True,False,2024-12-15,lherreraa@gmail.com
82613940,Elena,Echeverria,eecheverriaf@gmail.com,socio,True,False,2024-01-28,eecheverriaf@gmail.com
22130508,Diego,Gutierrez,dgutierrezd@gmail.com,socio,True,False,2024-01-26,dgutierrezd@gmail.com
50193656,Benjamin,Romero,bromerol@gmail.com,socio,True,False,2025-09-08,bromerol@gmail.com
42775624,Ignacio,Arias,iariasp@gmail.com,socio,True,False,2023-12-07,iariasp@gmail.com
91804602,Tomas,Lopez,tlopezr@gmail.com,socio,True,False,2024-03-17,tlopezr@gmail.com
71682508,Maria,Alarcon,malarcons@gmail.com,socio,False,False,2024-07-16,malarcons@gmail.com
19913576,Pablo,Ortiz,portizl@gmail.com,socio,True,False,2025-01-02,portizl@gmail.com
71315464,Gabriel,Cruz,gcruzs@gmail.com,socio,True,False,2024-06-28,gcruzs@gmail.com
87149951,Florencia,Navarro,fnavarror@gmail.com,socio,True,False,2023-12-31,fnavarror@gmail.com
16582607,Sofia,Navarro,snavarroi@gmail.com,socio,True,False,2025-03-14,snavarroi@gmail.com
35519083,Ignacio,Gutierrez,igutierreza@gmail.com,socio,False,False,2025-07-28,igutierreza@gmail.com
69166287,Andrea,Munoz,amunozv@gmail.com,socio,True,False,2025-06-23,amunozv@gmail.com
65767881,Diego,Castillo,dcastillod@gmail.com,socio,True,False,2024-05-01,dcastillod@gmail.com
46578001,Ignacio,Miranda,imirandam@gmail.com,socio,False,False,2024-06-29,imirandam@gmail.com
55461591,Diego,Diaz,ddiazi@gmail.com,socio,True,False,2025-06-13,ddiazi@gmail.com
63339667,Lucas,Ibarra,libarrab@gmail.com,socio,True,False,2024-09-26,libarrab@gmail.com
59470729,Sebastian,Sanchez,ssanchezr@gmail.com,socio,False,False,2024-01-21,ssanchezr@gmail.com
73280554,Benjamin,Bravo,bbravog@gmail.com,socio,True,False,2024-02-19,bbravog@gmail.com
72312933,Isabella,Alarcon,ialarcong@gmail.com,socio,True,False,2025-06-14,ialarcong@gmail.com
25585427,Mateo,Vargas,mvargasf@gmail.com,socio,True,False,2024-05-03,mvargasf@gmail.com
82503409,Maria,Rodriguez,mrodriguezb@gmail.com,socio,True,False,2024-09-06,mrodriguezb@gmail.com
64776386,Paula,Fuentes,pfuentesv@gmail.com,socio,True,False,2024-10-21,pfuentesv@gmail.com
58678896,Maria,Gutierrez,mgutierrezi@gmail.com,socio,True,False,2024-01-14,mgutierrezi@gmail.com
26395999,Florencia,Silva,fsilvam@gmail.com,socio,True,False,2025-04-01,fsilvam@gmail.com
54762841,Franco,Gonzalez,fgonzalezm@gmail.com,socio,True,False,2024-04-05,fgonzalezm@gmail.com
37804191,Paula,Echeverria,pecheverriao@gmail.com,socio,True,False,2025-06-06,pecheverriao@gmail.com
29419691,Franco,Gonzalez,fgonzalezs@gmail.com,socio,True,False,2025-05-10,fgonzalezs@gmail.com
11994519,Marcos,Gonzalez,mgonzalezp@gmail.com,socio,True,False,2024-12-08,mgonzalezp@gmail.com
66500369,Catalina,Munoz,cmunozp@gmail.com,socio,True,False,2025-08-31,cmunozp@gmail.com
89680504,Clara,Rodriguez,crodriguezm@gmail.com,socio,False,False,2025-03-23,crodriguezm@gmail.com
98436473,Mateo,Diaz,mdiazf@gmail.com,socio,False,False,2024-01-16,mdiazf@gmail.com
63904155,Mateo,Fuentes,mfuentesi@gmail.com,socio,True,False,2024-08-07,mfuentesi@gmail.com
29909029,Isabella,Castillo,icastillov@gmail.com,socio,True,False,2024-02-04,icastillov@gmail.com
61124122,Sebastian,Cruz,scruzc@gmail.com,socio,True,False,2024-06-05,scruzc@gmail.com
25356396,Benjamin,Flores,bfloresc@gmail.com,socio,True,False,2025-03-16,bfloresc@gmail.com
65833185,Paula,Romero,promeroh@gmail.com,socio,True,False,2024-12-19,promeroh@gmail.com
73655158,Ignacio,Perez,iperezb@gmail.com,socio,True,False,2025-08-09,iperezb@gmail.com
60015814,Benjamin,Diaz,bdiazd@gmail.com,socio,True,False,2024-04-08,bdiazd@gmail.com
57459130,Pablo,Sanchez,psancheza@gmail.com,socio,True,False,2024-02-29,psancheza@gmail.com
38553319,Benjamin,Navarro,bnavarrom@gmail.com,socio,True,False,2025-07-17,bnavarrom@gmail.com
47388792,Sebastian,Rodriguez,srodriguezs@gmail.com,socio,False,False,2024-04-09,srodriguezs@gmail.com
96261621,Paula,Vega,pvegav@gmail.com,socio,True,False,2025-05-04,pvegav@gmail.com
55610493,Clara,Vargas,cvargask@gmail.com,socio,True,False,2025-06-11,cvargask@gmail.com
94982908,Florencia,Rojas,frojasp@gmail.com,socio,True,False,2024-05-10,frojasp@gmail.com
31127115,Gabriel,Romero,gromeroc@gmail.com,socio,True,False,2024-12-07,gromeroc@gmail.com
17061037,Jose,Vega,jvegar@gmail.com,socio,True,False,2024-02-11,jvegar@gmail.com
98843907,Isabella,Silva,isilvar@gmail.com,socio,True,False,2024-08-09,isilvar@gmail.com
25276327,Martina,Echeverria,mecheverriam@gmail.com,socio,True,False,2025-01-18,mecheverriam@gmail.com
99541016,Jose,Fuentes,jfuentesm@gmail.com,socio,False,False,2024-09-26,jfuentesm@gmail.com
50455821,Mateo,Gonzalez,mgonzalezm@gmail.com,socio,True,False,2025-02-16,mgonzalezm@gmail.com
67801537,Benjamin,Gonzalez,bgonzalezf@gmail.com,socio,True,False,2024-05-08,bgonzalezf@gmail.com
99663907,Camila,Ortiz,cortizg@gmail.com,socio,True,False,2025-09-22,cortizg@gmail.com
52018286,Maria,Kraus,mkrausr@gmail.com,socio,True,False,2024-01-19,mkrausr@gmail.com
53589647,Benjamin,Herrera,bherrerag@gmail.com,socio,False,False,2023-11-29,bherrerag@gmail.com
24208709,Isabella,Arias,iariasi@gmail.com,socio,True,False,2024-09-20,iariasi@gmail.com
55568701,Florencia,Ibarra,fibarrav@gmail.com,socio,True,False,2025-05-16,fibarrav@gmail.com
78444607,Andrea,Sanchez,asanchezm@gmail.com,socio,True,False,2024-01-14,asanchezm@gmail.com
44355473,Lucas,Sanchez,lsanchezp@gmail.com,socio,True,False,2025-06-01,lsanchezp@gmail.com
94281857,Andrea,Rojas,arojasl@gmail.com,socio,True,False,2024-04-06,arojasl@gmail.com
85764804,Maria,Bravo,mbravok@gmail.com,socio,True,False,2024-08-11,mbravok@gmail.com
46866075,Maria,Alarcon,malarconv@gmail.com,socio,True,False,2025-08-21,malarconv@gmail.com
59491122,Maria,Munoz,mmunozm@gmail.com,socio,True,False,2025-08-04,mmunozm@gmail.com
87890494,Camila,Herrera,cherrerar@gmail.com,socio,True,False,2024-03-29,cherrerar@gmail.com
77292380,Antonia,Vega,avegaf@gmail.com,socio,True,False,2025-07-22,avegaf@gmail.com
21318464,Paula,Castillo,pcastilloc@gmail.com,socio,True,False,2025-02-24,pcastilloc@gmail.com
91846696,Maria,Miranda,mmirandam@gmail.com,socio,True,False,2025-01-19,mmirandam@gmail.com
90246882,Clara,Castillo,ccastillob@gmail.com,socio,True,False,2024-12-02,ccastillob@gmail.com
43822301,Pablo,Herrera,pherrerav@gmail.com,socio,True,False,2024-03-18,pherrerav@gmail.com
98054173,Hector,Rodriguez,hrodriguezv@gmail.com,socio,False,False,2023-11-10,hrodriguezv@gmail.com
96368203,Diego,Ortiz,dortizh@gmail.com,socio,True,False,2023-11-16,dortizh@gmail.com
80651318,Alonso,Bravo,abravok@gmail.com,socio,True,False,2024-10-30,abravok@gmail.com
55866538,Diego,Lopez,dlopezm@gmail.com,socio,True,False,2025-06-17,dlopezm@gmail.com
23574883,Diego,Ibarra,dibarraf@gmail.com,socio,True,False,2024-05-14,dibarraf@gmail.com
92950779,Antonia,Juarez,ajuareze@gmail.com,socio,True,False,2025-05-22,ajuareze@gmail.com
32218290,Laura,Echeverria,lecheverriav@gmail.com,socio,True,False,2024-10-27,lecheverriav@gmail.com
48242379,Lucas,Romero,lromerov@gmail.com,socio,True,False,2025-03-05,lromerov@gmail.com
36040410,Ricardo,Flores,rfloresf@gmail.com,socio,True,False,2025-01-20,rfloresf@gmail.com
31751079,Camila,Miranda,cmirandaa@gmail.com,socio,True,False,2025-02-21,cmirandaa@gmail.com
84429198,Joaquin,Ibarra,jibarrar@gmail.com,socio,True,False,2025-06-30,jibarrar@gmail.com
70306604,Clara,Lopez,clopezs@gmail.com,socio,True,False,2024-08-14,clopezs@gmail.com
70549373,Hector,Gutierrez,hgutierrezg@gmail.com,socio,True,False,2025-09-11,hgutierrezg@gmail.com
20952896,Ignacio,Gutierrez,igutierrezh@gmail.com,socio,False,False,2024-12-13,igutierrezh@gmail.com
55001909,Paula,Cruz,pcruza@gmail.com,socio,False,False,2025-01-15,pcruza@gmail.com
28628439,Joaquin,Cruz,jcruzg@gmail.com,socio,False,False,2025-10-30,jcruzg@gmail.com
30068183,Sofia,Silva,ssilvam@gmail.com,socio,True,False,2025-07-14,ssilvam@gmail.com
16408822,Lucas,Vargas,lvargass@gmail.com,socio,True,False,2024-02-06,lvargass@gmail.com
77085942,Benjamin,Garcia,bgarciaj@gmail.com,socio,True,False,2024-05-26,bgarciaj@gmail.com
67611469,Laura,Perez,lperezv@gmail.com,socio,True,False,2024-03-30,lperezv@gmail.com
80260907,Pablo,Bravo,pbravor@gmail.com,socio,True,False,2024-04-26,pbravor@gmail.com
62405812,Camila,Ortiz,cortizg@gmail.com,socio,False,False,2024-10-04,cortizg@gmail.com
57928328,Catalina,Diaz,cdiazg@gmail.com,socio,True,False,2024-01-02,cdiazg@gmail.com
54629892,Clara,Navarro,cnavarrod@gmail.com,socio,True,False,2024-04-24,cnavarrod@gmail.com
72360629,Andrea,Lopez,alopezg@gmail.com,socio,True,False,2025-06-19,alopezg@gmail.com
49385195,Clara,Romero,cromerom@gmail.com,socio,False,False,2025-04-14,cromerom@gmail.com
79173614,Antonia,Kraus,akrausv@gmail.com,socio,True,False,2025-02-18,akrausv@gmail.com
57912262,Andrea,Martinez,amartinezv@gmail.com,socio,True,False,2025-06-30,amartinezv@gmail.com
69020451,Gabriel,Juarez,gjuarezh@gmail.com,socio,True,False,2024-06-14,gjuarezh@gmail.com
79696025,Ignacio,Kraus,ikrausf@gmail.com,socio,True,False,2024-08-27,ikrausf@gmail.com
83212334,Franco,Garcia,fgarcial@gmail.com,socio,True,False,2025-08-15,fgarcial@gmail.com
90882505,Diego,Vargas,dvargasr@gmail.com,socio,True,False,2024-08-07,dvargasr@gmail.com
57319709,Mateo,Diaz,mdiazi@gmail.com,socio,True,False,2025-09-07,mdiazi@gmail.com
78865239,Andrea,Herrera,aherrerar@gmail.com,socio,True,False,2024-02-21,aherrerar@gmail.com
19023909,Maria,Munoz,mmunozp@gmail.com,socio,False,False,2024-10-08,mmunozp@gmail.com
70387584,Mateo,Vega,mvegap@gmail.com,socio,True,False,2025-08-18,mvegap@gmail.com
52196099,Camila,Rodriguez,crodriguezh@gmail.com,socio,True,False,2025-10-09,crodriguezh@gmail.com
85386435,Joaquin,Miranda,jmirandah@gmail.com,socio,True,False,2025-02-11,jmirandah@gmail.com
75927774,Martina,Vega,mvegav@gmail.com,socio,True,False,2025-08-21,mvegav@gmail.com
21783073,Elena,Cruz,ecruzr@gmail.com,socio,True,False,2025-08-30,ecruzr@gmail.com
31139996,Diego,Juarez,djuarezv@gmail.com,socio,True,False,2025-03-20,djuarezv@gmail.com
41774192,Martina,Flores,mfloresp@gmail.com,socio,True,False,2024-04-16,mfloresp@gmail.com
27417599,Maria,Flores,mfloreso@gmail.com,socio,False,False,2024-09-23,mfloreso@gmail.com
65135987,Alonso,Fuentes,afuentesm@gmail.com,socio,True,False,2024-12-15,afuentesm@gmail.com
79438885,Maria,Romero,mromerob@gmail.com,socio,True,False,2024-04-19,mromerob@gmail.com
68065043,Tomas,Echeverria,techeverriap@gmail.com,socio,True,False,2025-06-30,techeverriap@gmail.com
53306792,Diego,Lopez,dlopezl@gmail.com,socio,True,False,2025-01-18,dlopezl@gmail.com
83932683,Catalina,Martinez,cmartineza@gmail.com,socio,True,False,2024-12-29,cmartineza@gmail.com
32633927,Isabella,Miranda,imirandaa@gmail.com,socio,True,False,2024-02-04,imirandaa@gmail.com
85647532,Franco,Castillo,fcastillog@gmail.com,socio,False,False,2025-09-19,fcastillog@gmail.com
97393186,Clara,Navarro,cnavarros@gmail.com,socio,True,False,2024-01-20,cnavarros@gmail.com
48879071,Elena,Alarcon,ealarcono@gmail.com,socio,True,False,2023-12-04,ealarcono@gmail.com
18041391,Maria,Rojas,mrojasc@gmail.com,socio,True,False,2024-06-27,mrojasc@gmail.com
51954112,Antonia,Vega,avegap@gmail.com,socio,True,False,2025-06-24,avegap@gmail.com
52831009,Camila,Ortiz,cortizs@gmail.com,socio,True,False,2025-02-04,cortizs@gmail.com
48951595,Valentina,Sanchez,vsanchezm@gmail.com,socio,True,False,2025-05-25,vsanchezm@gmail.com
51971886,Hector,Navarro,hnavarrod@gmail.com,socio,True,False,2024-05-26,hnavarrod@gmail.com
13110670,Elena,Vargas,evargasf@gmail.com,socio,False,False,2024-07-24,evargasf@gmail.com
16530784,Martina,Navarro,mnavarror@gmail.com,socio,False,False,2024-03-03,mnavarror@gmail.com
